,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Time,season,Attendance
124,124,E0,31/10/99,Coventry,Watford,4,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
125,125,E0,31/10/99,Sunderland,Tottenham,2,1,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
126,126,E0,01/11/99,Liverpool,Bradford,3,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
127,127,E0,06/11/99,Aston Villa,Southampton,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
128,128,E0,06/11/99,Bradford,Coventry,1,1,D,1,1,D,,,,,,,,,,,,,S_1999_2000,
129,129,E0,06/11/99,Liverpool,Derby,2,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
130,130,E0,06/11/99,Man United,Leicester,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
131,131,E0,06/11/99,Middlesbrough,Sunderland,1,1,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
132,132,E0,06/11/99,Sheffield Weds,Watford,2,2,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
133,133,E0,07/11/99,Chelsea,West Ham,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
134,134,E0,07/11/99,Newcastle,Everton,1,1,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
135,135,E0,07/11/99,Tottenham,Arsenal,2,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
136,136,E0,07/11/99,Wimbledon,Leeds,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
137,137,E0,20/11/99,Arsenal,Middlesbrough,5,1,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
138,138,E0,20/11/99,Derby,Man United,1,2,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
139,139,E0,20/11/99,Everton,Chelsea,1,1,D,1,0,H,,,,,,,,,,,,,S_1999_2000,
140,140,E0,20/11/99,Leeds,Bradford,2,1,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
141,141,E0,20/11/99,Leicester,Wimbledon,2,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
142,142,E0,20/11/99,Southampton,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
