,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
63,63,E0,18/09/94,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
64,64,E0,19/09/94,Ipswich,Norwich,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
65,65,E0,24/09/94,Blackburn,Aston Villa,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
66,66,E0,24/09/94,Coventry,Southampton,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
67,67,E0,24/09/94,Crystal Palace,Chelsea,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
68,68,E0,24/09/94,Everton,Leicester,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
69,69,E0,24/09/94,Ipswich,Man United,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
70,70,E0,24/09/94,Man City,Norwich,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
71,71,E0,24/09/94,Newcastle,Liverpool,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
72,72,E0,24/09/94,QPR,Wimbledon,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
73,73,E0,24/09/94,Tottenham,Nott'm Forest,1,4,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
74,74,E0,25/09/94,West Ham,Arsenal,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
75,75,E0,26/09/94,Sheffield Weds,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
76,76,E0,01/10/94,Arsenal,Crystal Palace,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
77,77,E0,01/10/94,Aston Villa,Newcastle,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
78,78,E0,01/10/94,Leeds,Man City,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
79,79,E0,01/10/94,Liverpool,Sheffield Weds,4,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
80,80,E0,01/10/94,Man United,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
81,81,E0,01/10/94,Norwich,Blackburn,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
82,82,E0,01/10/94,Southampton,Ipswich,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
83,83,E0,01/10/94,Wimbledon,Tottenham,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
84,84,E0,02/10/94,Chelsea,West Ham,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
85,85,E0,02/10/94,Nott'm Forest,QPR,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
