date,ranking,Manchester City,Liverpool,Chelsea,Tottenham Hotspur,Arsenal,Manchester United,West Ham United,Wolverhampton,Brighton and Hove Albion,Leicester City,Aston Villa,Crystal Palace,Southampton,Leeds United,Brentford,Everton,Burnley,Watford,Newcastle,Norwich City,Fulham,AFC Bournemouth,Nottingham Forest
2022-09-07,overall,92.9,88.5,81.0,82.1,80.7,75.6,71.0,67.6,76.3,67.4,70.2,70.2,64.1,64.7,69.8,64.0,,,73.2,,61.4,54.4,55.0
2022-09-15,defense,3.0,2.8,2.2,2.3,2.3,2.1,1.8,1.7,2.0,1.9,1.9,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-15,offense,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.6,1.0,0.8,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.1
2022-09-15,overall,92.7,89.0,81.3,81.9,80.6,75.9,71.3,67.6,76.3,67.4,70.2,70.2,64.1,64.7,69.8,64.0,,,73.2,,61.4,54.4,55.0
2022-09-18,defense,3.0,2.8,2.2,2.4,2.3,2.1,1.8,1.7,2.0,2.0,1.8,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-18,offense,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.6,1.0,0.7,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.2
2022-09-18,overall,93.0,89.0,81.3,81.7,81.5,75.9,71.1,67.2,76.3,67.1,71.0,70.2,63.9,64.7,68.8,64.4,,,72.9,,61.7,54.7,54.2
2022-09-18,defense,3.0,2.8,2.2,2.4,2.3,2.1,1.8,1.7,2.0,2.0,1.8,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-18,offense,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.6,1.0,0.7,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.2
2022-09-18,overall,93.0,89.0,81.3,81.7,81.5,75.9,71.1,67.2,76.3,67.1,71.0,70.2,63.9,64.7,68.8,64.4,,,72.9,,61.7,54.7,54.2
2022-01-03,defense,3.1,2.8,2.2,2.3,2.3,2.2,1.8,1.7,2.1,2.0,1.8,1.8,1.8,1.8,1.9,1.7,,,2.0,,1.7,1.5,1.5
2022-01-03,offense,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.7,1.0,0.7,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.1,1.1,1.2
2022-01-03,overall,92.8,88.4,81.8,80.6,82.5,75.8,71.4,67.1,76.8,67.6,72.3,69.6,63.2,63.7,69.2,64.5,,,74.8,,59.0,54.9,53.8
2022-01-07,defense,3.2,2.8,2.2,2.3,2.4,2.2,1.8,1.7,2.1,2.0,1.8,1.8,1.8,1.8,1.9,1.7,,,2.0,,1.7,1.5,1.5
2022-01-07,offense,0.3,0.5,0.5,0.6,0.6,0.8,0.7,0.8,0.7,1.0,0.7,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.1,1.1,1.2
2022-01-07,overall,93.1,88.5,82.4,81.0,82.8,76.1,72.2,67.1,76.8,67.6,72.3,69.6,63.2,63.7,69.2,64.5,,,74.8,,59.0,54.9,53.8
2022-01-14,defense,3.1,2.9,2.3,2.3,2.4,2.3,1.9,1.7,2.1,2.0,1.8,1.8,1.8,1.8,1.9,1.7,,,2.1,,1.7,1.5,1.5
2022-01-14,offense,0.3,0.5,0.5,0.6,0.5,0.8,0.7,0.8,0.6,1.0,0.7,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.1,1.1,1.2
2022-01-14,overall,93.1,88.6,84.0,80.7,83.5,77.1,72.7,66.4,77.2,66.7,72.6,69.5,62.7,63.8,68.1,64.3,,,75.6,,58.0,55.8,53.9
2022-01-16,defense,3.0,2.9,2.3,2.3,2.3,2.2,1.9,1.6,2.1,1.9,1.8,1.8,1.7,1.8,2.0,1.7,,,2.0,,1.7,1.5,1.5
2022-01-16,offense,0.3,0.5,0.5,0.6,0.5,0.7,0.7,0.8,0.7,1.0,0.7,0.7,1.0,1.0,0.9,0.9,,,0.7,,1.2,1.1,1.1
2022-01-16,overall,93.0,88.8,83.7,81.5,82.9,77.1,73.5,66.1,76.8,67.1,73.0,69.6,61.9,64.9,68.3,63.4,,,75.9,,57.7,55.6,54.5
2022-01-25,defense,3.0,2.8,2.3,2.3,2.3,2.2,1.9,1.6,2.0,1.9,1.9,1.8,1.7,1.8,1.9,1.7,,,2.0,,1.8,1.5,1.5
2022-01-25,offense,0.3,0.6,0.5,0.7,0.5,0.7,0.6,0.8,0.6,0.9,0.7,0.8,1.0,1.0,1.0,0.9,,,0.6,,1.1,1.1,1.1
2022-01-25,overall,92.9,87.0,83.8,79.9,83.7,78.7,74.9,64.6,77.5,68.0,72.9,68.5,62.3,63.7,66.5,64.7,,,77.0,,60.6,55.4,56.1
2022-01-30,defense,2.9,2.8,2.3,2.3,2.3,2.3,1.9,1.6,2.1,1.9,1.8,1.7,1.7,1.8,1.9,1.6,,,2.1,,1.8,1.5,1.5
2022-01-30,offense,0.3,0.6,0.5,0.7,0.5,0.7,0.6,0.8,0.6,0.9,0.8,0.8,1.0,1.0,1.0,0.9,,,0.6,,1.1,1.1,1.2
2022-01-30,overall,92.9,86.6,82.4,79.9,84.7,80.5,75.1,64.6,78.7,68.4,70.0,68.2,62.8,65.3,66.7,64.0,,,79.3,,61.5,55.0,53.9
2022-01-02,defense,2.9,2.8,2.3,2.3,2.3,2.3,1.9,1.6,2.1,1.9,1.8,1.7,1.7,1.8,1.9,1.6,,,2.1,,1.8,1.5,1.5
2022-01-02,offense,0.3,0.6,0.5,0.7,0.5,0.7,0.6,0.8,0.6,0.9,0.8,0.8,1.0,1.0,1.0,0.9,,,0.6,,1.1,1.1,1.2
2022-01-02,overall,92.9,86.9,82.4,79.8,84.7,80.5,75.1,64.6,78.7,68.4,70.0,68.2,62.8,65.3,66.7,64.0,,,79.3,,61.5,55.0,53.9
