,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Time,season,Attendance
86,86,E0,12/10/96,Tottenham,Aston Villa,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
87,87,E0,12/10/96,Wimbledon,Sheffield Weds,4,2,H,2,1,H,,,,,,,,,,,,S_1996_1997,
88,88,E0,13/10/96,Coventry,Southampton,1,1,D,0,1,A,,,,,,,,,,,,S_1996_1997,
89,89,E0,14/10/96,Sunderland,Middlesbrough,2,2,D,1,1,D,,,,,,,,,,,,S_1996_1997,
90,90,E0,19/10/96,Arsenal,Coventry,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
91,91,E0,19/10/96,Aston Villa,Leeds,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
92,92,E0,19/10/96,Chelsea,Wimbledon,2,4,A,1,2,A,,,,,,,,,,,,S_1996_1997,
93,93,E0,19/10/96,Middlesbrough,Tottenham,0,3,A,0,2,A,,,,,,,,,,,,S_1996_1997,
94,94,E0,19/10/96,Nott'm Forest,Derby,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
95,95,E0,19/10/96,Sheffield Weds,Blackburn,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
96,96,E0,19/10/96,Southampton,Sunderland,3,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
97,97,E0,19/10/96,West Ham,Leicester,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
98,98,E0,20/10/96,Newcastle,Man United,5,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
99,99,E0,26/10/96,Arsenal,Leeds,3,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
100,100,E0,26/10/96,Chelsea,Tottenham,3,1,H,1,1,D,,,,,,,,,,,,S_1996_1997,
101,101,E0,26/10/96,Coventry,Sheffield Weds,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
102,102,E0,26/10/96,Leicester,Newcastle,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
103,103,E0,26/10/96,Middlesbrough,Wimbledon,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
104,104,E0,26/10/96,Southampton,Man United,6,3,H,3,1,H,,,,,,,,,,,,S_1996_1997,
105,105,E0,26/10/96,Sunderland,Aston Villa,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
106,106,E0,26/10/96,West Ham,Blackburn,2,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
107,107,E0,27/10/96,Liverpool,Derby,2,1,H,0,0,D,,,,,,,,,,,,S_1996_1997,
108,108,E0,28/10/96,Nott'm Forest,Everton,0,1,A,0,1,A,,,,,,,,,,,,S_1996_1997,
109,109,E0,02/11/96,Aston Villa,Nott'm Forest,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
110,110,E0,02/11/96,Derby,Leicester,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
111,111,E0,02/11/96,Leeds,Sunderland,3,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
112,112,E0,02/11/96,Man United,Chelsea,1,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
113,113,E0,02/11/96,Sheffield Weds,Southampton,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
114,114,E0,02/11/96,Tottenham,West Ham,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
115,115,E0,02/11/96,Wimbledon,Arsenal,2,2,D,1,1,D,,,,,,,,,,,,S_1996_1997,
116,116,E0,03/11/96,Blackburn,Liverpool,3,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
117,117,E0,03/11/96,Newcastle,Middlesbrough,3,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
118,118,E0,04/11/96,Everton,Coventry,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
119,119,E0,16/11/96,Aston Villa,Leicester,1,3,A,1,2,A,,,,,,,,,,,,S_1996_1997,
120,120,E0,16/11/96,Blackburn,Chelsea,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
121,121,E0,16/11/96,Everton,Southampton,7,1,H,5,1,H,,,,,,,,,,,,S_1996_1997,
122,122,E0,16/11/96,Leeds,Liverpool,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
123,123,E0,16/11/96,Man United,Arsenal,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
124,124,E0,16/11/96,Newcastle,West Ham,1,1,D,0,1,A,,,,,,,,,,,,S_1996_1997,
125,125,E0,16/11/96,Tottenham,Sunderland,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
126,126,E0,16/11/96,Wimbledon,Coventry,2,2,D,1,0,H,,,,,,,,,,,,S_1996_1997,
127,127,E0,17/11/96,Derby,Middlesbrough,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
128,128,E0,18/11/96,Sheffield Weds,Nott'm Forest,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
129,129,E0,20/11/96,Liverpool,Everton,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
130,130,E0,23/11/96,Chelsea,Newcastle,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
131,131,E0,23/11/96,Coventry,Aston Villa,1,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
132,132,E0,23/11/96,Leicester,Everton,1,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
133,133,E0,23/11/96,Liverpool,Wimbledon,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
134,134,E0,23/11/96,Middlesbrough,Man United,2,2,D,1,1,D,,,,,,,,,,,,S_1996_1997,
135,135,E0,23/11/96,Southampton,Leeds,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
136,136,E0,23/11/96,Sunderland,Sheffield Weds,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
137,137,E0,23/11/96,West Ham,Derby,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
138,138,E0,24/11/96,Arsenal,Tottenham,3,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
139,139,E0,25/11/96,Nott'm Forest,Blackburn,2,2,D,1,0,H,,,,,,,,,,,,S_1996_1997,
140,140,E0,30/11/96,Aston Villa,Middlesbrough,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
141,141,E0,30/11/96,Blackburn,Southampton,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
142,142,E0,30/11/96,Derby,Coventry,2,1,H,1,1,D,,,,,,,,,,,,S_1996_1997,
143,143,E0,30/11/96,Everton,Sunderland,1,3,A,0,0,D,,,,,,,,,,,,S_1996_1997,
144,144,E0,30/11/96,Man United,Leicester,3,1,H,0,0,D,,,,,,,,,,,,S_1996_1997,
145,145,E0,30/11/96,Newcastle,Arsenal,1,2,A,1,1,D,,,,,,,,,,,,S_1996_1997,
146,146,E0,30/11/96,Sheffield Weds,West Ham,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
147,147,E0,30/11/96,Wimbledon,Nott'm Forest,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
148,148,E0,01/12/96,Leeds,Chelsea,2,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
149,149,E0,02/12/96,Tottenham,Liverpool,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
150,150,E0,03/12/96,Middlesbrough,Leicester,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
151,151,E0,04/12/96,Arsenal,Southampton,3,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
152,152,E0,04/12/96,West Ham,Aston Villa,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
153,153,E0,07/12/96,Arsenal,Derby,2,2,D,1,0,H,,,,,,,,,,,,S_1996_1997,
154,154,E0,07/12/96,Chelsea,Everton,2,2,D,1,2,A,,,,,,,,,,,,S_1996_1997,
155,155,E0,07/12/96,Coventry,Tottenham,1,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
156,156,E0,07/12/96,Leicester,Blackburn,1,1,D,0,1,A,,,,,,,,,,,,S_1996_1997,
157,157,E0,07/12/96,Liverpool,Sheffield Weds,0,1,A,0,1,A,,,,,,,,,,,,S_1996_1997,
158,158,E0,07/12/96,Middlesbrough,Leeds,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
159,159,E0,07/12/96,Southampton,Aston Villa,0,1,A,0,1,A,,,,,,,,,,,,S_1996_1997,
160,160,E0,07/12/96,Sunderland,Wimbledon,1,3,A,0,2,A,,,,,,,,,,,,S_1996_1997,
161,161,E0,08/12/96,West Ham,Man United,2,2,D,0,0,D,,,,,,,,,,,,S_1996_1997,
162,162,E0,09/12/96,Nott'm Forest,Newcastle,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
163,163,E0,14/12/96,Leeds,Tottenham,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
164,164,E0,14/12/96,Liverpool,Middlesbrough,5,1,H,3,0,H,,,,,,,,,,,,S_1996_1997,
